cod_nodo,nom_est,id_trazado,nom_tronc,tipo_esta,latitud,longitud,orden_en_trazado
5105,Pradera - Plaza Central,TZ009,Americas,4,4.62850646,-74.11867713,9
5107,Distrito Grafiti,TZ009,Americas,4,4.62785005,-74.11158411,10
12000,Puente Aranda,TZ009,Americas,4,4.62566974,-74.10463943,11
12001,Carrera 43 - Comapan,TZ009,Americas,4,4.62278154,-74.10143788,12
12002,CDS - Carrera 32,TZ009,Americas,4,4.61613616,-74.09394954,13
12003,Ricaurte - CL 13,TZ009,Americas,3,4.61301798,-74.0904765,14
12004,San Facon Carrera 22,TZ009,Americas,4,4.60973521,-74.08679478,15
12007,Zona Industrial,TZ009,Americas,4,4.62032526,-74.09868611,16
14001,De La Sabana,TZ009,Americas,4,4.6054211,-74.08189427,17
7010,Bosa,TZ010,NQS Sur,4,4.59688795,-74.181225,1
7000,Portal Sur - JFK Coop. Financiera,TZ010,NQS Sur,1,4.59693995,-74.16929784,2
7001,Perdomo,TZ010,NQS Sur,4,4.59578778,-74.16496973,3
7002,CC Paseo Villa del Río - Madelena,TZ010,NQS Sur,4,4.59628094,-74.15688105,4
7003,Sevillana,TZ010,NQS Sur,4,4.59510726,-74.14741029,5
7004,Venecia,TZ010,NQS Sur,4,4.59556283,-74.14264921,6
7005,Alquería,TZ010,NQS Sur,4,4.59426993,-74.13426993,7
7006,General Santander,TZ010,NQS Sur,2,4.59355114,-74.12954496,8
7007,Cl38A sur - CENTRO MAYOR,TZ010,NQS Sur,4,4.59380944,-74.12375508,9
7008,NQS - Calle 30 S,TZ010,NQS Sur,4,4.59479847,-74.11788075,10
7009,SENA,TZ010,NQS Sur,4,4.59737051,-74.11064255,11
7113,Santa Isabel,TZ010,NQS Sur,4,4.60167503,-74.10261755,12
7112,Comuneros,TZ010,NQS Sur,4,4.60424998,-74.09986137,13
7503,San Mateo - CC Unisur,TZ011,NQS Sur,2,4.58596064,-74.20544974,1
7504,Terreros - Hospital Cardio Vascular,TZ011,NQS Sur,4,4.5889627,-74.19952261,2
7505,León XIII,TZ011,NQS Sur,4,4.59217281,-74.19313531,3
7506,La Despensa,TZ011,NQS Sur,4,4.59459382,-74.18811218,4
9108,Hospital,TZ012,Caracas Sur,4,4.59505052,-74.08622629,1
9107,Hortúa,TZ012,Caracas Sur,4,4.59084725,-74.090246,2
9106,Nariño,TZ012,Caracas Sur,4,4.58628471,-74.09392542,3
9105,Fucha,TZ012,Caracas Sur,4,4.58297258,-74.09940175,4
9104,Restrepo,TZ012,Caracas Sur,4,4.58184906,-74.10142878,5
9103,Olaya,TZ012,Caracas Sur,4,4.57891519,-74.10736382,6
9101,Quiroga,TZ012,Caracas Sur,4,4.57680973,-74.11438051,7
9100,Calle 40 Sur,TZ012,Caracas Sur,2,4.57579415,-74.12007924,8
9004,Santa Lucía,TZ012,Caracas Sur,4,4.57096848,-74.12470872,9
9003,Socorro,TZ012,Caracas Sur,4,4.56465328,-74.12558394,10
9002,Consuelo,TZ012,Caracas Sur,4,4.5602273,-74.12387433,11
9001,Molinos,TZ012,Caracas Sur,2,4.55706456,-74.12182779,12
9000,Portal Usme,TZ013,Caracas Sur,1,4.53171458,-74.11939099,1
9005,Danubio,TZ013,Caracas Sur,4,4.54365433,-74.12085159,2
8000,Portal Tunal,TZ014,Caracas Sur,1,4.56957146,-74.1392402,1
8001,Parque,TZ014,Caracas Sur,4,4.56832656,-74.13541451,2
8002,Biblioteca,TZ014,Caracas Sur,4,4.57030352,-74.13038868,3
14005,Las Aguas - Centro Colombo Americano,TZ015,Eje Ambiental,3,4.60257976,-74.06840144,1
14004,Museo del Oro,TZ015,Eje Ambiental,4,4.60115298,-74.07290843,2
14003,Temporal AV. Jiménez - Inter Eléctricas,TZ015,Eje Ambiental,3,4.60305325,-74.07909278,3
6000,Portal El Dorado – C.C. Nuestro Bogotá,TZ016,Calle 26,1,4.68162203,-74.12139802,1
6001,Modelia,TZ016,Calle 26,4,4.67502466,-74.1171471,2
6002,Normandía,TZ016,Calle 26,4,4.66900868,-74.11328003,3
6100,Avenida Rojas - UNISALESIANA,TZ016,Calle 26,4,4.66194444,-74.108772,4
6101,El Tiempo – Cámara de Comercio de Bogotá,TZ016,Calle 26,4,4.65706705,-74.10564666,5
6102,Salitre - El Greco,TZ016,Calle 26,4,4.65086482,-74.10164882,6
6103,CAN,TZ016,Calle 26,4,4.64687639,-74.09904645,7
6104,Gobernación,TZ016,Calle 26,4,4.64283002,-74.09653771,8
6105,Quinta Paredes,TZ016,Calle 26,4,4.63750353,-74.09313226,9
6106,Corferias,TZ016,Calle 26,4,4.63430649,-74.08970085,10
6107,Ciudad Universitaria - Lotería de Bogotá,TZ016,Calle 26,4,4.63087543,-74.08352723,11
6108,Concejo de Bogotá,TZ016,Calle 26,4,4.62598737,-74.08028966,12
6109,Centro Memoria,TZ016,Calle 26,4,4.62046499,-74.07632059,13
6111,Universidades – CityU,TZ016,Calle 26,3,4.60464623,-74.06731585,14
10008,San Diego,TZ018,Carrera 10,4,4.61089909,-74.07150007,1
10007,Las Nieves,TZ018,Carrera 10,4,4.60606534,-74.07432675,2
10006,San Victorino,TZ018,Carrera 10,4,4.60102943,-74.07742242,3
10005,Bicentenario,TZ018,Carrera 10,2,4.59402077,-74.08183542,4
10010,San Bernardo,TZ018,Carrera 10,4,4.59019556,-74.08432732,5
10004,Policarpa,TZ018,Carrera 10,4,4.58611582,-74.08701654,6
10003,Ciudad Jardín - UAN,TZ018,Carrera 10,4,4.58154254,-74.0903516,7
10002,AV. 1 Mayo,TZ018,Carrera 10,2,4.57693931,-74.0937094,8
10001,Country Sur,TZ018,Carrera 10,4,4.57141673,-74.09863413,9
10000,Portal 20 de Julio,TZ018,Carrera 10,1,4.56571812,-74.09700841,10
10009,Museo Nacional,TZ019,Carrera 7,4,4.6152449,-74.06921969,1
5011,Tibanica - Primavera,TZ022,Avenida Ciudad de Cali,4,4.60672702,-74.20605303,1
5010,Los Laureles,TZ022,Avenida Ciudad de Cali,4,4.61109139,-74.20232841,2
5009,Islandia,TZ022,Avenida Ciudad de Cali,4,4.61434757,-74.19374374,3
